layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,rmse,n_points,porosity,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,oc,texture_lab,bd
KSSL_15920626,KSSL_70259.0,loam,0.1553650518661767,1.750291904175269,0.215390001,0.4695226275292906,48.9,28.9,22.2,,10.5,,,0.0194231141991748,7,0.4867924528301887,0.2153900009997958,0.4643888986443582,0.214450010740157,10.999999998676625,0.0612335873595881,0.0159535742184937,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",3.6,l,1.36
KSSL_207991,KSSL_34324.0,sandy loam,3.645657885425472,1.1631440771544153,8.805527906399645e-10,0.4300927475943821,56.3,29.5,14.2,,40.0,39.134724,-105.15195,0.0131115759260502,7,0.4528301886792453,7.324566518325065e-12,0.4300503465178442,3.507629151596781,1.0100000018025757,0.1624675181719627,0.0130762864273742,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",1.2,cosl,1.45
KSSL_203584,KSSL_33604.0,sandy loam,0.172770974433604,1.679111656858837,0.1041600009999999,0.3448939330904799,65.1,21.7,13.2,,47.0,42.766674,-116.90002,0.0220227977115696,7,0.3547169811320754,0.1041600009999999,0.3377072062724761,0.2171234312695062,10.999999990402218,0.0580946934226016,0.0181775175118421,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.5,cosl,1.7100000000000002
KSSL_209477,KSSL_34593.0,sandy loam,0.1103857495478489,1.9622974782834317,0.028980000999957,0.3830561532011135,58.3,37.3,4.4,,62.0,46.464027,-113.43069,0.016316765057092,7,0.3849056603773584,0.022197318037711,0.3757292797798942,0.1832889714776223,10.999999999999998,0.0632764759442085,0.0090274018128823,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.1,fsl,1.63
KSSL_207996,KSSL_34325.0,sandy loam,0.0252774250726141,2.124875537478487,0.0867000009999999,0.2837750032875615,67.3,21.8,10.9,,78.5,39.117779,-105.15111,0.0118495635652129,7,0.3132075471698113,0.0867000009999999,0.2794406872081952,0.0371574683663459,10.999999999962812,0.0812919170479033,0.0107070992332563,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.2,sl,1.82
KSSL_15748313,KSSL_40732.0,sandy loam,0.1636606799375093,1.91616810338242,0.0686200009999999,0.4150089286640071,79.6,8.1,12.3,,8.0,33.690861,-102.79214,0.017413411087949,7,0.430188679245283,0.0686200009999999,0.4090792754069853,0.2229003068941465,10.99999999991122,0.0729760048840663,0.0112921483433177,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.3,fsl,1.51
KSSL_15830578,KSSL_53351.0,loam,0.13282884010752,1.3097204512202016,0.1860775501362541,0.5481129224388224,50.8,34.3,14.9,,131.0,45.287613,-123.33283,0.0222430526046626,7,0.5283018867924528,0.2178861797671189,0.5477648681016656,0.0663145506952664,1.010000000000003,0.455748121626861,0.0221966762487502,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.2,l,1.25
KSSL_15920587,KSSL_70253.0,loamy sand,1.5692739571075027,1.32747400735501,4.417888540726686e-17,0.4266125517477561,83.4,11.4,5.2,,,,,0.0250763808387282,7,0.4490566037735849,1.9228655850525827e-15,0.4265618177217632,1.4045534051271835,1.010000124003306,0.3308351762209136,0.0250464829902801,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.5,ls,1.46
KSSL_15920584,KSSL_70252.0,clay,0.1278000134477665,1.7607747532766918,0.3320100009999999,0.8415045331061234,9.7,23.1,67.2,,93.0,,,0.0291053671257978,7,0.3811320754716981,0.3320100009999999,0.8271476498660288,0.1938746629134602,10.999999999999655,0.056880749502657,0.0196476129896448,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.3,c,1.64
KSSL_209468,KSSL_34591.0,clay,0.0859942457738673,1.5338361997984764,0.2508289671337023,0.7106407843530093,14.0,39.8,46.2,,126.0,45.802666,-111.5863,0.0154237377608795,7,0.5584905660377358,0.2831798331029543,0.7131269126711206,0.0283680417679015,1.0659356330832015,0.98,0.0134206062859192,undisturbed,"KSSL method codes: wet end on natural clods (DbWR1/4B1c), dry end sieved <2 mm (3C1/3C2)",0.1,c,1.17
