layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
sDB_P_22_4,sDB_P_22,sandy loam,0.083552724612469,2.0451603260454805,0.1250000009997702,0.4536627397390705,52.400000000000006,32.6,15.0,1.5229166666666665,60.0,0.0111149656576296,14,0.1250000009999999,0.4541476745069635,0.0792796570234201,1.940209196203476,0.5542069730461865,0.0111094523761334,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_22_5,sDB_P_22,sandy loam,0.0963309158189081,2.02416392078122,0.090700000999999,0.4530483570691261,56.49999999999999,26.8,16.7,1.0375,60.0,0.0173156467279529,18,0.0907000009999999,0.4470230861424698,0.1354885213795344,10.999999998236865,0.0770659904947604,0.0169192731269474,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_23_0,sDB_P_23,clay,0.3552710911789052,1.0976954823661107,0.0640388566764393,0.508512520043554,14.1,35.1,50.8,111.97916666666669,15.0,0.0137931369962771,18,0.2381781353208031,0.5061585307263315,0.1425634235619517,1.01,0.2498139939271316,0.0135069535720608,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_23_1,sDB_P_23,silty clay loam,0.122315233958229,1.082774384379691,5.01226196519523e-13,0.4877544124073851,12.2,53.3,34.5,,15.0,0.008706448969988,17,3.835912159671011e-14,0.488239654118874,0.1121741410779658,1.01,0.08403078258154,0.0084999874017366,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_23_2,sDB_P_23,clay,0.06206529792445,1.1359006625441257,4.48419302766407e-17,0.5551669532255993,10.8,37.3,51.9,2.4875000000000003,60.0,0.0142540683575803,18,0.2704424074479521,0.5523496995267567,0.0125042866267012,1.01,0.7278907264157994,0.0134860250104916,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_23_3,sDB_P_23,clay,0.0108404626975091,2.4549465691951005,0.2980000009999999,0.5551181039046641,6.506506506506506,38.93893893893894,54.55455455455455,,60.0,0.0163024665362137,18,0.2980000009999999,0.5558769420609033,0.0076792012949893,2.0033675915675047,0.9799999999999988,0.0162697076734254,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_24_0,sDB_P_24,loamy sand,0.0912393894984527,1.7623723356441374,0.0604021889968882,0.3904446907606321,81.51848151848151,13.186813186813188,5.294705294705295,2.629166666666667,15.0,0.0089456553116024,18,0.0598839094183891,0.3902782857379995,0.0936311420395322,1.7987900531740326,0.4165893346438062,0.0089439829154164,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_24_1,sDB_P_24,loamy sand,0.1189090182504536,1.7151737532600042,0.0711305784774574,0.3857163340819862,82.08208208208208,12.512512512512512,5.405405405405405,2.3874999999999997,15.0,0.0090032880542695,18,0.0740000009999999,0.3916010918100096,0.0611366222063105,1.1530265410588834,0.8617578200369873,0.0080101888848018,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_24_2,sDB_P_24,sand,0.1178578808708587,1.630314850776993,0.0088346968338167,0.3535602197612431,92.8928928928929,2.6026026026026035,4.504504504504505,0.2791666666666667,60.0,0.0087314934297939,17,0.0124723098877167,0.3549515591616748,0.0976655943197687,1.4383363027740448,0.4906366860041883,0.0086645904314822,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_24_3,sDB_P_24,sand,0.1388257909663109,1.5836636274962177,1.67946269575594e-23,0.3550009568905553,95.1,0.9,4.0,0.7520833333333333,60.0,0.0219593497086665,18,0.0097375833286546,0.361714771956034,0.0488608339947843,1.0100000000000031,0.979999999993652,0.0206501956778165,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_24_4,sDB_P_24,sand,0.0989738856778435,3.773250956479715,0.0290000009999999,0.3215396172974337,89.5,3.7,6.8,3.3249999999999997,60.0,0.0076554730867078,18,0.0290000009999999,0.3220058421723963,0.0880757635057561,3.270749912588545,0.979999999999814,0.0075916749908966,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_24_5,sDB_P_24,sand,0.1056545860541891,3.0434827958288615,0.0280000009999999,0.3164665249589246,89.3893893893894,3.903903903903903,6.706706706706705,,60.0,0.0115527070797542,18,0.0280000009999999,0.3143883961719877,0.1376486774028697,10.999999998347596,0.1428962821629703,0.0111792416567619,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_25_0,sDB_P_25,loamy sand,0.1221737654711787,1.9634456017416304,0.061675739721745,0.3799086160204401,87.2,8.200000000000001,4.6,3.608333333333333,15.0,0.0104882416049206,9,0.0569295054426047,0.3763755782996205,0.1604648936371468,3.117220765269226,0.2525650431601267,0.009752153937852,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_25_1,sDB_P_25,sand,0.1542732889197118,1.8368391545147584,0.0625835470185898,0.4113831477001955,87.5,8.100000000000001,4.4,3.17625,15.0,0.011581558248413,9,0.0538401141303855,0.4074890932079394,0.2178946632872785,2.954924989385172,0.2186607873357285,0.0104902414146994,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_25_4,sDB_P_25,sand,0.1739792174360475,2.181786822036333,0.0168000009999969,0.3039007271697491,95.2,3.8,1.0,3.4458333333333333,60.0,0.0220488826924016,18,0.016800000999876,0.3045830488332702,0.1582897003771641,2.022320787413044,0.6268145630735016,0.0220318808335184,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_25_5,sDB_P_25,sand,0.1727770191094154,2.297838499260211,0.0123000009999999,0.3008857555037043,96.3,1.2,2.5,3.8875,60.0,0.012420113747558,18,0.0123000009999999,0.3014141370755712,0.1578120673257515,2.147205203370478,0.6509977004718486,0.012394829163196,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_26_0,sDB_P_26,sand,0.3967850732172977,1.4632431319715862,0.0139729405590759,0.414728171979647,91.5,4.5,4.0,13.441666666666668,15.0,0.024652114222078,18,1.6014772343902146e-17,0.4047271429166729,0.5712745045312636,3.860776145782947,0.0962727027949078,0.0236753849794219,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_26_1,sDB_P_26,sand,0.3265215291405416,1.6734642750287514,0.030908589632502,0.4000846402375486,92.2,5.3,2.5,17.875,15.0,0.0100508422516056,18,0.0275040402967805,0.3972828636311484,0.3859756186757143,2.032828061326499,0.299337268613275,0.0098909911889803,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
